"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Touch%","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","Touch%/96","extreme1","extreme2","plotnames"
"Federico","Higuain","Federico Higuain",2017,"CLB",2342,"CAM",1464,0.75,0.779,-42.2176504638047,-2.88371929397573,17.9273985551176,1.30888433515483,0.112935907700302,1050,60.0102476515798,0.75,0.778837192939757,-1.73052708989122,-2.88371929397573,17.9273985551176,1.30888433515483,0.112935907700302,1497,1200,"Higuain 2017"
"Will","Bruin","Will Bruin",2015,"HOU",2504,"F",611,0.687,0.757,-42.4311034493148,-6.94453411609081,12.7428146573654,-1.43120238095238,0.065818088826298,185,23.4249201277955,0.687397708674304,0.756843049835212,-1.62675156994178,-6.94453411609081,12.7428146573654,-1.43120238095238,0.065818088826298,1077,547,"Bruin 2015"
"Quincy","Amarikwa","Quincy Amarikwa",2016,"SJE",1759,"F",442,0.656,0.752,-42.5825568921864,-9.63406264529104,15.1017674264932,-0.135620689655172,0.076879879917927,260.66667,24.1227970437749,0.656108597285068,0.752449223737978,-2.32400537899369,-9.63406264529104,15.1017674264932,-0.135620689655172,0.076879879917927,999,354,"Amarikwa 2016"
"Dominic","Dwyer","Dominic Dwyer",2016,"SKC",2996,"F",426,0.646,0.746,-42.8136920928955,-10.050162463121,13.2292170220447,0.296490909090909,0.0519488727659263,618.75,13.6502002670227,0.645539906103286,0.746041530734497,-1.37186730337716,-10.050162463121,13.2292170220447,0.296490909090909,0.0519488727659263,906,301,"Dwyer 2016"
"Nicolas","Mezquida","Nicolas Mezquida",2016,"VAN",1477,"CAM",493,0.698,0.785,-43.0258962921798,-8.72736233107095,16.0456202765893,-0.560290697674418,0.0900067144593986,88,32.0433310765064,0.697768762677485,0.785042385988194,-2.79653760599138,-8.72736233107095,16.0456202765893,-0.560290697674418,0.0900067144593986,1614,626,"Mezquida 2016"
"Dominic","Dwyer","Dominic Dwyer",2017,"SKC,ORL",2359,"F",315,0.606,0.743,-43.078006118536,-13.6755574979479,16.9617954952128,-1.06570680628272,0.0474931723621941,668.75,12.8189910979228,0.606349206349206,0.743104781328686,-1.75306849825327,-13.6755574979479,16.9617954952128,-1.06570680628272,0.0474931723621941,858,168,"Dwyer 2017"
"Darwin","Quintero","Darwin Quintero",2018,"MIN",2564,"CAM",1171,0.664,0.701,-43.2937310710549,-3.69715893006447,19.8118983460939,5.67451737451738,0.119059305511431,1650,43.8439937597504,0.663535439795047,0.700507029095692,-1.62098213058552,-3.69715893006447,19.8118983460939,5.67451737451738,0.119059305511431,374,398,"Quintero 2018"
"Kevin","Doyle","Kevin Doyle",2016,"COL",2292,"F",704,0.707,0.769,-43.6677373964339,-6.202803607448,15.9102376912898,-1.25691767068273,0.0761032157599812,1120,29.4869109947644,0.707386363636364,0.769414399710844,-1.82901517890823,-6.202803607448,15.9102376912898,-1.25691767068273,0.0761032157599812,1301,717,"Doyle 2016"
"C.J.","Sapong","C.J. Sapong",2016,"PHI",2660,"F",618,0.667,0.737,-43.7143270336092,-7.07351570123126,14.0927347177326,-1.71383495145631,0.063786279910755,225,22.3037593984962,0.666666666666667,0.737401823678979,-1.57765992301747,-7.07351570123126,14.0927347177326,-1.71383495145631,0.063786279910755,779,431,"Sapong 2016"
"Christian","Ramirez","Christian Ramirez",2017,"MIN",2529,"F",389,0.71,0.822,-43.8546876087785,-11.2736986140819,15.1318371704384,-3.52875,0.0373637957753384,392.5044,14.7663107947805,0.709511568123393,0.822248554264212,-1.6647093754222,-11.2736986140819,15.1318371704384,-3.52875,0.0373637957753384,2282,738,"Ramirez 2017"
